islay 0.1.0 - Othello/Reversi engine (movegen backend: hybrid (int+NEON))
type 'uci', 'go perft <depth> [nocache]', 'd', 'test', or 'quit'
info string pattern weights loaded: weights/v12.pat (v3, 15 stages x 167332)
info string option EvalFile = weights/v12.pat
stage,depth,score,standpat
4,2,-1155,-1279
4,3,-1548,-1279
4,4,-1257,-1279
4,5,-1504,-1279
4,6,-1328,-1279
4,7,-1470,-1279
4,8,-1293,-1279
4,9,-1389,-1279
4,10,-1367,-1279
4,11,-1540,-1279
4,12,-1362,-1279
6,1,2935,1711
6,2,2873,1711
6,3,3212,1711
6,4,3285,1711
6,5,3300,1711
6,6,3091,1711
6,7,3024,1711
6,8,3046,1711
6,9,3180,1711
6,10,3246,1711
6,11,3468,1711
6,12,3555,1711
11,1,-1372,-1279
11,2,-596,-1279
11,3,-976,-1279
11,4,-569,-1279
11,5,-833,-1279
11,6,-704,-1279
11,7,-1103,-1279
11,8,-1041,-1279
11,9,-1094,-1279
11,10,-1087,-1279
11,11,-1281,-1279
11,12,-1576,-1279
10,1,1521,994
10,2,1292,994
10,3,1360,994
10,4,1259,994
10,5,1646,994
10,6,1570,994
10,7,2033,994
10,8,1959,994
10,9,1910,994
10,10,1797,994
10,11,1804,994
10,12,2013,994
3,1,936,1448
3,2,988,1448
3,3,1050,1448
3,4,1455,1448
3,5,1241,1448
3,6,1177,1448
3,7,1017,1448
3,8,1084,1448
3,9,1077,1448
3,10,1243,1448
3,11,1134,1448
3,12,1259,1448
4,1,-273,-605
4,2,-112,-605
4,3,299,-605
4,4,247,-605
4,5,427,-605
4,6,284,-605
4,7,382,-605
4,8,497,-605
4,9,455,-605
4,10,644,-605
4,11,646,-605
4,12,638,-605
9,1,873,-258
9,2,470,-258
9,3,1460,-258
9,4,1391,-258
9,5,1644,-258
9,6,1496,-258
